price,title,rating,num_ratings,num_reviews,num_pages,genres,publication_year,author,author_book_count,author_followers_count,five_star_count,five_star_percentage,four_star_count,four_star_percentage,three_star_count,three_star_percentage,two_star_count,two_star_percentage,one_star_count,one_star_percentage,votes,category,award_year
14.99,The Wedding People,4.16,327019,38667,384,"['Fiction', 'Romance', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Chick Lit', 'Humor']",2024,Alison Espach,8,2416,123227,37,144585,44,48565,14,8388,2,2254,0,94733,Fiction,2024
14.99,Intermezzo,3.93,171506,31312,454,"['Fiction', 'Contemporary', 'Literary Fiction', 'Romance', 'Audiobook', 'Ireland', 'Irish Literature']",2024,Sally Rooney,43,61500,53605,31,68660,40,36424,21,9842,5,2975,1,67268,Fiction,2024
9.13,Welcome to the Hyunam-Dong Bookshop,3.97,49745,9574,307,"['Contemporary', 'Books About Books', 'Audiobook', 'Cozy', 'Literary Fiction', 'Slice Of Life', 'Adult']",2022,Hwang Bo-Reum,3,740,15568,31,20267,40,11063,22,2367,4,480,0,51958,Fiction,2024
13.99,Blue Sisters,3.98,140226,19902,342,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Family', 'Adult', 'LGBT']",2024,Coco Mellors,5,5253,43785,31,60355,43,27337,19,7508,5,1241,0,50659,Fiction,2024
14.99,Here One Moment,4.05,146803,16125,512,"['Fiction', 'Audiobook', 'Mystery', 'Contemporary', 'Thriller', 'Mystery Thriller', 'Adult']",2024,Liane Moriarty,42,71800,49893,33,62470,42,27770,18,5392,3,1278,0,48432,Fiction,2024
NA,Swan Song,4.07,106675,7276,384,"['Fiction', 'Romance', 'Audiobook', 'Mystery', 'Chick Lit', 'Contemporary', 'Adult Fiction']",2024,Elin Hilderbrand,88,53700,34701,32,48635,45,20207,18,2563,2,569,0,41212,Fiction,2024
12.99,Good Material,3.86,183950,25259,319,"['Fiction', 'Romance', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Adult', 'Adult Fiction']",2023,Dolly Alderton,15,13000,46549,25,78633,42,46888,25,9942,5,1938,1,33508,Fiction,2024
0,I Hope This Finds You Well,3.78,67688,10257,338,"['Fiction', 'Romance', 'Contemporary', 'Audiobook', 'Humor', 'Chick Lit', 'Adult']",2024,Natalie Sue,1,1053,13702,20,30483,45,19087,28,3708,5,708,1,30650,Fiction,2024
14.99,Margo's Got Money Troubles,3.9,85769,12981,304,"['Fiction', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Humor', 'Adult', 'Chick Lit']",2024,Rufi Thorpe,9,1381,22463,26,38414,44,19604,22,4138,4,1150,1,27439,Fiction,2024
12.99,Martyr!,4.22,58896,10888,331,"['Fiction', 'Literary Fiction', 'Poetry', 'Contemporary', 'LGBT', 'Audiobook', 'Queer']",2024,Kaveh Akbar,27,1756,26896,45,21252,36,8336,14,1887,3,525,0,25992,Fiction,2024
12.99,Wandering Stars,3.85,28194,4300,315,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Indigenous', 'Native American', 'Historical']",2024,Tommy Orange,18,4611,6698,23,12613,44,7119,25,1428,5,336,1,9041,Fiction,2024
14.99,Real Americans,3.98,63214,7556,416,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Contemporary', 'Magical Realism', 'Family']",2024,Rachel Khong,12,1181,17275,27,30111,47,13676,21,1851,2,301,0,8546,Fiction,2024
0,Sandwich,3.63,96258,11717,240,"['Fiction', 'Audiobook', 'Contemporary', 'Family', 'Literary Fiction', 'Adult Fiction', 'Adult']",2024,Catherine Newman,20,1366,21984,22,32979,34,27926,29,10093,10,3276,3,8108,Fiction,2024
NA,Tell Me Everything,4.13,49767,5443,352,"['Fiction', 'Literary Fiction', 'Audiobook', 'Mystery', 'Contemporary', 'Adult Fiction', 'Family']",2024,Elizabeth Strout,43,14500,20395,40,18459,37,8305,16,1980,3,628,1,7276,Fiction,2024
13.99,All Fours,3.58,102180,14782,336,"['Fiction', 'Audiobook', 'Contemporary', 'Literary Fiction', 'LGBT', 'Queer', 'Novels']",2024,Miranda July,32,5660,24479,23,34045,33,25733,25,12617,12,5306,5,5655,Fiction,2024
9.4,Playground,4.25,18171,2946,381,"['Fiction', 'Science Fiction', 'Literary Fiction', 'Audiobook', 'Nature', 'Contemporary', 'Environment']",2024,Richard Powers,61,5854,8402,46,6670,36,2458,13,502,2,139,0,5039,Fiction,2024
14.99,Same As It Ever Was,3.87,30203,4031,498,"['Fiction', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Family', 'Adult Fiction', 'Drama']",2024,Claire Lombardo,3,2689,8293,27,12395,41,7233,23,1737,5,545,1,4746,Fiction,2024
14.99,The Mighty Red,3.87,16705,2127,384,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Audiobook', 'Indigenous', 'Native American', 'Contemporary']",2024,Louise Erdrich,131,11900,4566,27,6829,40,4139,24,914,5,257,1,4021,Fiction,2024
13.99,Greta & Valdin,3.98,17733,3318,352,"['Fiction', 'Queer', 'LGBT', 'Contemporary', 'Literary Fiction', 'Romance', 'Audiobook']",2021,Rebecca K. Reilly,1,493,5698,32,7280,41,3712,20,858,4,185,1,3757,Fiction,2024
14.99,Colored Television,3.6,13257,1987,288,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Race', 'Humor', 'African American']",2024,Danzy Senna,12,919,1961,14,5531,41,4461,33,1083,8,221,1,2151,Fiction,2024
14.99,The Women,4.62,1054745,112563,471,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'War', 'Book Club', 'Adult']",2024,Kristin Hannah,129,262000,736289,69,246353,23,59386,5,10014,0,2703,0,253147,Historical Fiction,2024
14.99,James,4.52,219174,25311,303,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Historical', 'Race', 'Retellings']",2024,Percival Everett,74,6298,134597,61,67221,30,14441,6,2187,0,728,0,62431,Historical Fiction,2024
14.99,The Frozen River,4.42,277845,29714,432,"['Historical Fiction', 'Fiction', 'Mystery', 'Audiobook', 'Historical', 'Thriller', 'Mystery Thriller']",2023,Ariel Lawhon,12,7444,148392,53,102083,36,23314,8,3166,1,890,0,47850,Historical Fiction,2024
3.99,The Booklover's Library,4.01,10845,1561,416,"['Historical Fiction', 'Fiction', 'Books About Books', 'Historical', 'World War II', 'Audiobook', 'War']",2024,Madeline  Martin,75,3680,3139,28,5087,46,2257,20,309,2,53,0,32873,Historical Fiction,2024
14.99,The Lion Women of Tehran,4.5,52881,6431,327,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Iran', 'Coming Of Age', 'Literary Fiction']",2024,Marjan Kamali,5,3225,30628,57,18653,35,3234,6,296,0,70,0,24781,Historical Fiction,2024
14.99,By Any Other Name,4.13,66293,8726,544,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'Contemporary', 'Feminism', 'Romance']",2024,Jodi Picoult,96,90000,26054,39,26403,39,10869,16,2188,3,779,1,24147,Historical Fiction,2024
0,The Briar Club,4.31,110393,11318,432,"['Historical Fiction', 'Fiction', 'Mystery', 'Audiobook', 'Historical', 'Thriller', 'Mystery Thriller']",2024,Kate Quinn,28,34500,50930,46,45683,41,11740,10,1618,1,422,0,23252,Historical Fiction,2024
